iter	Passed	Remaining
572	78661	58618
573	78777	58465
574	78882	58304
575	78983	58140
576	79094	57984
577	79212	57833
578	79352	57698
579	79456	57537
580	79562	57377
581	79658	57211
582	79752	57044
583	79856	56884
584	79953	56719
585	80055	56557
586	80151	56393
587	80259	56236
588	80366	56079
589	80463	55915
590	80571	55759
591	80677	55601
592	80771	55436
593	80872	55276
594	80974	55117
595	81083	54962
596	81179	54799
597	81276	54637
598	81382	54481
599	81479	54319
600	81595	54170
601	81696	54012
602	81795	53852
603	81890	53689
604	81992	53532
605	82085	53369
606	82192	53215
607	82288	53054
608	82403	52905
609	82539	52771
610	82636	52611
611	82738	52455
612	82846	52302
613	82949	52147
614	83047	51989
615	83165	51843
616	83281	51696
617	83428	51569
618	83549	51425
619	83694	51296
620	83832	51163
621	83928	51004
622	84094	50888
623	84278	50783
624	84401	50641
625	84510	50490
626	84608	50333
627	84703	50174
628	84803	50018
629	84900	49862
630	85000	49707
631	85102	49553
632	85198	49396
633	85303	49244
634	85398	49087
635	85509	48939
636	85672	48821
637	85842	48707
638	86008	48589
639	86179	48475
640	86366	48370
641	86467	48217
642	86568	48063
643	86767	47964
644	86940	47850
645	87040	47696
646	87138	47542
647	87238	47389
648	87362	47248
649	87556	47146
650	87682	47006
651	87781	46852
652	87880	46699
653	87998	46555
654	88119	46414
655	88215	46259
656	88318	46108
657	88474	45985
658	88572	45831
659	88679	45683
660	88808	45546
661	89003	45443
662	89100	45289
663	89207	45140
664	89431	45052
665	89617	44943
666	89746	44805
667	89850	44656
668	90051	44554
669	90176	44415
670	90274	44262
671	90372	44110
672	90504	43974
673	90650	43845
674	90747	43693
675	90842	43539
676	90938	43387
677	91072	43252
678	91167	43099
679	91264	42947
680	91362	42796
681	91463	42647
682	91567	42499
683	91664	42347
684	91759	42196
685	91874	42053
686	91969	41901
687	92071	41753
688	92168	41602
689	92264	41452
690	92366	41304
691	92461	41153
692	92557	41003
693	92656	40854
694	92755	40705
695	92857	40558
696	92954	40409
697	93059	40263
698	93243	40151
699	93414	40034
700	93508	39884
701	93611	39738
702	93715	39592
703	93813	39444
704	93927	39303
705	94103	39187
706	94280	39072
707	94436	38948
708	94532	38799
709	94631	38652
710	94733	38506
711	94830	38358
712	94926	38210
713	95091	38089
714	95194	37944
715	95292	37797
716	95386	37649
717	95481	37501
718	95660	37386
719	95761	37240
720	95861	37094
721	95966	36951
722	96070	36807
723	96169	36661
724	96266	36514
725	96364	36369
726	96462	36223
727	96558	36076
728	96652	35929
729	96746	35782
730	96842	35637
731	96938	35491
732	97036	35346
733	97131	35200
734	97226	35054
735	97325	34910
736	97422	34765
737	97533	34625
738	97628	34480
739	97732	34338
740	97837	34196
741	97940	34054
742	98039	33911
743	98136	33767
744	98243	33626
745	98342	33483
746	98436	33339
747	98537	33197
748	98649	33058
749	98752	32917
750	98850	32774
751	98945	32630
752	99084	32501
753	99250	32381
754	99387	32251
755	99482	32108
756	99582	31966
757	99677	31823
758	99790	31685
759	99885	31542
760	99994	31404
761	100091	31262
762	100189	31120
763	100284	30978
764	100381	30836
765	100480	30695
766	100586	30556
767	100690	30417
768	100787	30275
769	100886	30135
770	100998	29998
771	101104	29859
772	101203	29719
773	101309	29581
774	101405	29440
775	101509	29301
776	101613	29163
777	101706	29021
778	101811	28883
779	101908	28743
780	102013	28605
781	102111	28465
782	102221	28329
783	102317	28189
784	102412	28049
785	102512	27910
786	102620	27773
787	102714	27633
788	102810	27494
789	102906	27354
790	103005	27216
791	103099	27076
792	103208	26941
793	103303	26801
794	103408	26665
795	103504	26526
796	103608	26389
797	103715	26253
798	103817	26116
799	103916	25979
800	104018	25842
801	104113	25703
802	104211	25566
803	104311	25429
804	104407	25291
805	104517	25156
806	104619	25020
807	104751	24891
808	104848	24754
809	104945	24616
810	105055	24482
811	105162	24348
812	105270	24213
813	105434	24091
814	105631	23977
815	105803	23857
816	105899	23720
817	106004	23585
818	106149	23459
819	106274	23328
820	106378	23193
821	106480	23057
822	106585	22922
823	106717	22794
824	106823	22659
825	106920	22523
826	107028	22389
827	107196	22267
828	107344	22142
829	107477	22013
830	107625	21887
831	107725	21752
832	107819	21615
833	107971	21490
834	108069	21355
835	108242	21234
836	108374	21105
837	108469	20969
838	108563	20832
839	108666	20698
840	108762	20562
841	108859	20427
842	108955	20291
843	109073	20160
844	109180	20027
845	109334	19902
846	109499	19779
847	109642	19652
848	109740	19518
849	109846	19384
850	109968	19254
851	110100	19125
852	110196	18990
853	110291	18855
854	110386	18720
855	110481	18585
856	110609	18456
857	110775	18333
858	110928	18208
859	111044	18077
860	111210	17953
861	111389	17832
862	111565	17710
863	111733	17587
864	111880	17461
865	112040	17336
866	112157	17205
867	112344	17084
868	112440	16950
869	112537	16815
870	112634	16681
871	112736	16548
872	112868	16419
873	113035	16295
874	113219	16174
875	113388	16050
876	113559	15926
877	113720	15801
878	113890	15677
879	114052	15552
880	114230	15429
881	114382	15302
882	114541	15177
883	114707	15052
884	114881	14928
885	114988	14795
886	115084	14661
887	115181	14527
888	115280	14393
889	115374	14259
890	115587	14140
891	115823	14023
892	115994	13898
893	116185	13775
894	116390	13654
895	116559	13529
896	116780	13409
897	116975	13286
898	117165	13163
899	117367	13040
900	117461	12906
901	117563	12772
902	117731	12646
903	117914	12521
904	118090	12396
905	118268	12270
906	118430	12143
907	118529	12009
908	118623	11875
909	118722	11741
910	118903	11616
911	119095	11491
912	119265	11364
913	119440	11238
914	119635	11113
915	119850	10990
916	120016	10863
917	120225	10739
918	120409	10612
919	120597	10486
920	120794	10361
921	120983	10235
922	121163	10107
923	121364	9982
924	121533	9854
925	121764	9730
926	121935	9602
927	122164	9478
928	122345	9350
929	122515	9221
930	122695	9093
931	122861	8964
932	123030	8835
933	123200	8705
934	123372	8576
935	123546	8447
936	123722	8318
937	123894	8189
938	124077	8060
939	124246	7930
940	124418	7800
941	124575	7670
942	124754	7540
943	124895	7409
944	124992	7274
945	125086	7140
946	125210	7007
947	125353	6875
948	125469	6742
949	125594	6610
950	125784	6481
951	125948	6350
952	126127	6220
953	126294	6089
954	126427	5957
955	126522	5823
956	126628	5689
957	126810	5559
958	126975	5428
959	127143	5297
960	127281	5165
961	127376	5031
962	127482	4898
963	127663	4767
964	127801	4635
965	127910	4502
966	128011	4368
967	128169	4237
968	128321	4105
969	128494	3974
970	128669	3842
971	128767	3709
972	128901	3576
973	129029	3444
974	129138	3311
975	129232	3177
976	129366	3045
977	129480	2912
978	129593	2779
979	129690	2646
980	129785	2513
981	129882	2380
982	129978	2247
983	130074	2115
984	130168	1982
985	130268	1849
986	130435	1717
987	130575	1585
988	130668	1453
989	130774	1320
990	130870	1188
991	130964	1056
992	131058	923
993	131184	791
994	131288	659
995	131386	527
996	131486	395
997	131601	263
998	131704	131
999	131799	0
