iter	MultiClass
0	2.435645657
1	2.272911226
2	2.153678292
3	2.064737088
4	1.983118696
5	1.924438547
6	1.865934855
7	1.820116202
8	1.772431387
9	1.729315449
10	1.68951504
11	1.659410601
12	1.63093916
13	1.602214292
14	1.572854658
15	1.544615679
16	1.521641835
17	1.497515816
18	1.47622802
19	1.458659183
20	1.434879886
21	1.416421166
22	1.401134867
23	1.384682885
24	1.367411096
25	1.352931095
26	1.341791106
27	1.329481915
28	1.319954662
29	1.307658417
30	1.299013165
31	1.29178013
32	1.282534306
33	1.272748981
34	1.263047522
35	1.255357022
36	1.249797933
37	1.239803365
38	1.232698099
39	1.228301035
40	1.221741461
41	1.216027726
42	1.210871505
43	1.20318607
44	1.195030648
45	1.189937607
46	1.184101028
47	1.17720008
48	1.172178522
49	1.167385697
50	1.163668639
51	1.158915776
52	1.152636086
53	1.148819119
54	1.144987589
55	1.140919517
56	1.138814349
57	1.136621094
58	1.132490474
59	1.12826276
60	1.125672899
61	1.121048721
62	1.117334407
63	1.114336191
64	1.111215201
65	1.107090491
66	1.10463628
67	1.100981488
68	1.100090972
69	1.097998258
70	1.095462362
71	1.093290917
72	1.089913052
73	1.088121116
74	1.086119796
75	1.084678452
76	1.082942169
77	1.080719997
78	1.076527181
79	1.076063595
80	1.075587485
81	1.07407114
82	1.073891236
83	1.07318168
84	1.072601371
85	1.071948242
86	1.070524065
87	1.069477145
88	1.068221263
89	1.066304794
90	1.064018738
91	1.063013891
92	1.062399107
93	1.060939259
94	1.057853518
95	1.056406616
96	1.055150312
97	1.052719037
98	1.050925764
99	1.049358973
100	1.049123345
101	1.047828204
102	1.046424993
103	1.046372929
104	1.04526916
105	1.045099739
106	1.042600639
107	1.041301699
108	1.040479219
109	1.038873942
110	1.037259166
111	1.036767156
112	1.035076957
113	1.032731167
114	1.030324236
115	1.029078907
116	1.028504157
117	1.027440421
118	1.026809736
119	1.026196782
120	1.025148173
121	1.024031529
122	1.02324662
123	1.021218424
124	1.020299413
125	1.01940334
126	1.017778081
127	1.016545699
128	1.016431508
129	1.016388238
130	1.015650751
131	1.013093888
132	1.012457926
133	1.012066809
134	1.011963383
135	1.011083492
136	1.011012923
137	1.010431418
138	1.007827064
139	1.005354208
140	1.004768904
141	1.003450192
142	1.002835408
143	1.002535756
144	1.000830219
145	1.000782728
146	0.9991630268
147	0.9988335425
148	0.998158462
149	0.9974588971
150	0.9969714602
151	0.9969032837
152	0.9959692172
153	0.9955237133
154	0.9950561172
155	0.9946795637
156	0.9941835431
157	0.993848993
158	0.9928172702
159	0.9916268209
160	0.9915466836
161	0.9910097853
162	0.990148961
163	0.9894845748
164	0.9890392117
165	0.9887796627
166	0.9883568843
167	0.9876769492
168	0.9870908006
169	0.9860608367
170	0.9855677008
171	0.9847442363
172	0.9827199798
173	0.9826145139
174	0.9817450356
175	0.980928255
176	0.9805881467
177	0.9804648803
178	0.9799400132
